file,entries,collection,status
bestiary\bestiary-scc.json,47,grim_bestiary,Re-indexed (changed)
bestiary\bestiary-sdw.json,6,grim_bestiary,Re-indexed (changed)
bestiary\bestiary-skt.json,105,grim_bestiary,Re-indexed (changed)
bestiary\bestiary-slw.json,7,grim_bestiary,Re-indexed (changed)
bestiary\bestiary-tce.json,20,grim_bestiary,Re-indexed (changed)
bestiary\bestiary-tdcsr.json,50,grim_bestiary,Re-indexed (changed)
bestiary\bestiary-tftyp.json,133,grim_bestiary,Re-indexed (changed)
bestiary\bestiary-toa.json,89,grim_bestiary,Re-indexed (changed)
bestiary\bestiary-tofw.json,19,grim_bestiary,Re-indexed (changed)
bestiary\bestiary-ttp.json,5,grim_bestiary,Re-indexed (changed)
bestiary\bestiary-vd.json,1,grim_bestiary,Re-indexed (changed)
bestiary\bestiary-veor.json,69,grim_bestiary,Re-indexed (changed)
bestiary\bestiary-vgm.json,143,grim_bestiary,Re-indexed (changed)
bestiary\bestiary-vrgr.json,35,grim_bestiary,Re-indexed (changed)
bestiary\bestiary-wbtw.json,52,grim_bestiary,Re-indexed (changed)
bestiary\bestiary-wdh.json,95,grim_bestiary,Re-indexed (changed)
bestiary\bestiary-wdmm.json,97,grim_bestiary,Re-indexed (changed)
bestiary\bestiary-xdmg.json,2,grim_bestiary,Re-indexed (changed)
bestiary\bestiary-xge.json,2,grim_bestiary,Re-indexed (changed)
bestiary\bestiary-xmm.json,503,grim_bestiary,Re-indexed (changed)
bestiary\bestiary-xphb.json,15,grim_bestiary,Re-indexed (changed)
bestiary\index.json,0,grim_bestiary,Re-indexed (changed)
bestiary\legendarygroups.json,167,grim_bestiary,Re-indexed (changed)
bestiary\template.json,63,grim_bestiary,Re-indexed (changed)
book\book-aag.json,7,grim_book,Re-indexed (changed)
book\book-aatm.json,2,grim_book,Re-indexed (changed)
book\book-ai.json,10,grim_book,Re-indexed (changed)
book\book-al.json,2,grim_book,Re-indexed (changed)
book\book-bam.json,2,grim_book,Re-indexed (changed)
book\book-bgg.json,10,grim_book,Re-indexed (changed)
book\book-bmt.json,23,grim_book,Re-indexed (changed)
book\book-dmg.json,15,grim_book,Re-indexed (changed)
book\book-dmtcrg.json,5,grim_book,Re-indexed (changed)
book\book-dod.json,6,grim_book,Re-indexed (changed)
book\book-egw.json,12,grim_book,Re-indexed (changed)
book\book-erlw.json,15,grim_book,Re-indexed (changed)
book\book-ftd.json,9,grim_book,Re-indexed (changed)
book\book-ggr.json,9,grim_book,Re-indexed (changed)
book\book-hat-tg.json,2,grim_book,Re-indexed (changed)
book\book-hf.json,9,grim_book,Re-indexed (changed)
book\book-hffotm.json,10,grim_book,Re-indexed (changed)
book\book-mabjov.json,8,grim_book,Re-indexed (changed)
book\book-mcv4ec.json,2,grim_book,Re-indexed (changed)
book\book-mm.json,4,grim_book,Re-indexed (changed)
book\book-mot.json,8,grim_book,Re-indexed (changed)
book\book-mpmm.json,5,grim_book,Re-indexed (changed)
book\book-mpp.json,3,grim_book,Re-indexed (changed)
book\book-mtf.json,7,grim_book,Re-indexed (changed)
book\book-oga.json,2,grim_book,Re-indexed (changed)
book\book-paf.json,14,grim_book,Re-indexed (changed)
book\book-phb.json,16,grim_book,Re-indexed (changed)
book\book-ps-a.json,7,grim_book,Re-indexed (changed)
book\book-ps-d.json,10,grim_book,Re-indexed (changed)
book\book-ps-i.json,7,grim_book,Re-indexed (changed)
book\book-ps-k.json,5,grim_book,Re-indexed (changed)
book\book-ps-x.json,7,grim_book,Re-indexed (changed)
book\book-ps-z.json,4,grim_book,Re-indexed (changed)
book\book-rmr.json,7,grim_book,Re-indexed (changed)
book\book-sac.json,1,grim_book,Re-indexed (changed)
book\book-sato.json,6,grim_book,Re-indexed (changed)
book\book-scag.json,7,grim_book,Re-indexed (changed)
book\book-scc.json,11,grim_book,Re-indexed (changed)
book\book-screen.json,1,grim_book,Re-indexed (changed)
book\book-screendungeonkit.json,2,grim_book,Re-indexed (changed)
book\book-screenspelljammer.json,1,grim_book,Re-indexed (changed)
book\book-screenwildernesskit.json,2,grim_book,Re-indexed (changed)
book\book-tce.json,6,grim_book,Re-indexed (changed)
book\book-td.json,3,grim_book,Re-indexed (changed)
book\book-tdcsr.json,10,grim_book,Re-indexed (changed)
book\book-vgm.json,6,grim_book,Re-indexed (changed)
book\book-vrgr.json,8,grim_book,Re-indexed (changed)
book\book-xdmg.json,12,grim_book,Re-indexed (changed)
book\book-xge.json,7,grim_book,Re-indexed (changed)
book\book-xmm.json,5,grim_book,Re-indexed (changed)
book\book-xphb.json,12,grim_book,Re-indexed (changed)
book\book-xscreen.json,1,grim_book,Re-indexed (changed)
class\class-artificer.json,1,grim_class,Re-indexed (changed)
class\class-barbarian.json,2,grim_class,Re-indexed (changed)
class\class-bard.json,2,grim_class,Re-indexed (changed)
class\class-cleric.json,2,grim_class,Re-indexed (changed)
class\class-druid.json,2,grim_class,Re-indexed (changed)
class\class-fighter.json,2,grim_class,Re-indexed (changed)
class\class-monk.json,2,grim_class,Re-indexed (changed)
class\class-mystic.json,1,grim_class,Re-indexed (changed)
class\class-paladin.json,2,grim_class,Re-indexed (changed)
class\class-ranger.json,2,grim_class,Re-indexed (changed)
class\class-rogue.json,2,grim_class,Re-indexed (changed)
class\class-sidekick.json,3,grim_class,Re-indexed (changed)
class\class-sorcerer.json,2,grim_class,Re-indexed (changed)
class\class-warlock.json,2,grim_class,Re-indexed (changed)
class\class-wizard.json,2,grim_class,Re-indexed (changed)
class\index.json,0,grim_class,Re-indexed (changed)
generated\bookref-dmscreen-index.json,72,grim_generated,Re-indexed (changed)
generated\bookref-dmscreen.json,0,grim_generated,Re-indexed (changed)
generated\bookref-quick.json,0,grim_generated,Re-indexed (changed)
generated\gendata-maps.json,0,grim_generated,Re-indexed (changed)
generated\gendata-nav-adventure-book-index.json,94,grim_generated,Re-indexed (changed)
generated\gendata-spell-source-lookup.json,0,grim_generated,Re-indexed (changed)
generated\gendata-subclass-lookup.json,0,grim_generated,Re-indexed (changed)
generated\gendata-tables.json,2139,grim_generated,Re-indexed (changed)
generated\gendata-tag-redirects.json,0,grim_generated,Re-indexed (changed)
generated\gendata-variantrules.json,13,grim_generated,Re-indexed (changed)
spells\index.json,0,grim_spells,Re-indexed (changed)
spells\sources.json,0,grim_spells,Re-indexed (changed)
spells\spells-aag.json,2,grim_spells,Re-indexed (changed)
spells\spells-ai.json,7,grim_spells,Re-indexed (changed)
spells\spells-aitfr-avt.json,1,grim_spells,Re-indexed (changed)
spells\spells-bmt.json,3,grim_spells,Re-indexed (changed)
spells\spells-egw.json,15,grim_spells,Re-indexed (changed)
spells\spells-ftd.json,7,grim_spells,Re-indexed (changed)
spells\spells-ggr.json,1,grim_spells,Re-indexed (changed)
spells\spells-idrotf.json,2,grim_spells,Re-indexed (changed)
spells\spells-llk.json,3,grim_spells,Re-indexed (changed)
spells\spells-phb.json,361,grim_spells,Re-indexed (changed)
spells\spells-sato.json,2,grim_spells,Re-indexed (changed)
spells\spells-scc.json,5,grim_spells,Re-indexed (changed)
spells\spells-tce.json,21,grim_spells,Re-indexed (changed)
spells\spells-tdcsr.json,2,grim_spells,Re-indexed (changed)
spells\spells-xge.json,95,grim_spells,Re-indexed (changed)
spells\spells-xphb.json,391,grim_spells,Re-indexed (changed)
